,datetime,price_usd,twitter_followers,daily_opening_price_usd,daily_high_price_usd,daily_low_price_usd,daily_closing_price_usd,daily_avg_price_usd,marketcap_usd,nvt,circulation_1d,dormant_circulation_90d,exchange_balance,daily_active_addresses,network_growth,transaction_volume,velocity,dev_activity,dev_activity_contributors_count,sentiment_positive_total,sentiment_negative_total,sentiment_balance_total,social_dominance_total,social_volume_total,unique_social_volume_total_5m,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,btc_price_usd,eth_NFT_buyers,total_NFT_buyers,000001.SS,^GSPC,^IXIC,^N100,^NDX,daily transactions,volume_ETH,daily_trading_volume_ETH,eth_NFT_sales_ETH,total_NFT_sales_ETH,total_TVL_ETH,eth_TVL_ETH,fees_usd_ETH,mvrv_usd_ETH
2,2017-07-21,218.305,3198.940170940171,226.061,235.118,213.01,218.305,224.66313194444444,20401709506.0,142.73498331738358,655238.8678607268,88502.95500454346,24054.407082610647,116187.0,28509.0,21531267.009178136,32.860179798978244,306.0,16.0,327.6346994638443,324.90693467855453,2.7277647852897644,14.969816574665064,2964.0,418.0,12146.0,33.0,2667.76,6.0,6.0,3236.587890625,2467.39990234375,6383.0498046875,1005.8699951171875,5905.60009765625,232560.0,4608827.099699961,4608827.099699961,11.557728865577976,11.557728865577976,0.0,0.0,318.1814981350659,0.011339530740668244
3,2017-07-22,229.476,4798.410256410256,217.86,232.696,216.868,229.476,224.02480208333336,21451273566.0,132.13411477107576,707991.3947948155,211461.61129404567,-27431.412258671735,99746.0,21287.0,4989936.577841601,7.0480186828916604,19.0,10.0,262.7153329849243,193.86597138643265,68.84936159849167,12.234222475911855,2024.0,421.0,3380.0,17.0,2810.12,5.0,5.0,3234.6912434895835,2468.9466145833335,6384.639811197917,1003.0299886067709,5910.710123697917,205574.0,2694225.104150325,2694225.104150325,3.3685875647126498,3.3685875647126498,0.0,0.0,219.5672244966038,0.011268556324766225
4,2017-07-23,225.951,6397.880341880342,229.123,231.68,217.722,225.951,226.1639583333334,21127295408.0,120.49245200491856,776598.8486497262,62735.25981844324,-41064.60483194629,134185.0,29124.0,7330973.827251881,9.43984637629106,20.0,9.0,239.98604732751846,143.39036524295807,96.5956820845604,11.016530899677553,1866.0,365.0,3506.0,30.0,2730.4,6.0,6.0,3232.7945963541665,2470.4933268229165,6386.229817708333,1000.1899820963541,5915.820149739583,260490.0,2875026.0012126523,2875026.0012126523,3.2637607268832625,3.2637607268832625,0.0,0.0,288.88458179752445,0.011243444879310147
5,2017-07-24,224.711,7997.350427350428,226.285,227.538,222.453,224.711,224.98812500000008,21016755176.0,91.0877421118127,1027562.6141809245,151013.5714466151,7071.886016002257,118011.0,30270.0,21618277.188211013,21.03840378179289,197.0,26.0,305.7536543607712,200.31802034378052,105.43563401699066,11.607793916896178,2113.0,546.0,11598.0,47.0,2754.86,7.0,7.0,3230.89794921875,2472.0400390625,6387.81982421875,997.3499755859375,5920.93017578125,263095.0,1921094.2054461061,1921094.2054461061,7.224523944088184,7.224523944088184,0.0,0.0,309.9727511869634,0.011202102083690687
6,2017-07-25,206.71,9596.820512820512,224.373,225.324,195.845,206.71,211.34839583333334,19338262506.0,77.13162290754906,1213808.9091256373,44687.71199666016,-57277.08484035043,113729.0,29492.0,23593767.392767638,19.437793886137218,113.0,26.0,351.83474534749985,274.55226880311966,77.28247654438019,13.628050656764728,2844.0,721.0,11803.0,45.0,2576.48,5.0,5.0,3249.137939453125,2477.8798828125,6407.58984375,995.6799926757812,5927.10009765625,242956.0,5300953.025978424,5300953.025978424,4.008078951187654,4.008078951187654,0.0,0.0,359.5154746949415,0.011224446314714566
7,2017-07-26,203.953,11196.290598290598,207.086,210.767,194.784,203.953,201.82923611111121,19085332800.0,78.49196134248868,1193084.7609589486,29631.420848930677,-237752.65679325385,107781.0,26083.0,19282278.74510602,16.16170064027544,258.0,29.0,332.8792037367821,208.1986443400383,124.68055939674377,12.873037237876813,2537.0,520.0,10512.0,40.0,2529.45,4.0,4.0,3244.4609375,2479.969970703125,6425.93017578125,1001.280029296875,5944.16015625,223010.0,3518908.7681965944,3518908.7681965944,1.5584963202306414,1.5584963202306414,0.0,0.0,291.55104182967574,0.011258534677079856
8,2017-07-27,204.318,12795.760683760684,204.856,206.444,201.26,204.318,203.84921875000006,19124468250.0,115.5005108812243,811008.6959968535,39614.65409200601,26959.309944099077,113960.0,26796.0,21521495.20489417,26.536700914691735,484.0,17.0,302.1497691273689,186.4385701417923,115.71119898557663,10.65560100704551,2141.0,510.0,11407.0,51.0,2671.78,3.0,3.0,3243.764892578125,2482.760009765625,6459.759765625,1008.5700073242188,5994.02001953125,225435.0,1924857.3302401158,1924857.3302401158,1.1084681721630008,1.1084681721630008,0.0,0.0,263.3884261302096,0.011243946960343027
9,2017-07-28,193.123,14395.23076923077,204.325,204.897,192.304,193.123,198.81692334494772,18081289102.0,71.01291401296172,1319430.489162859,194886.6784058766,-43957.96256071836,117808.0,29807.0,25198826.258474547,19.098259791200828,109.0,22.0,321.3109575510025,303.7807046175003,17.530252933502197,11.192750148555827,2487.0,539.0,13418.0,45.0,2809.01,4.0,4.0,3240.173095703125,2469.1201171875,6350.27001953125,1004.6599731445312,5883.7001953125,246494.0,2913019.163952507,2913019.163952507,1.623990928061391,1.623990928061391,0.0,0.0,290.40809091705916,0.011213328810758675
10,2017-07-29,205.789,15994.700854700855,193.341,208.679,179.647,205.789,188.76826989619371,19272280500.0,65.63309324134754,1427954.8889821284,396136.6390322112,-510296.58993263036,99700.0,25788.0,22547793.610494014,15.790270256067782,16.0,9.0,324.4400563240051,254.14333218336105,70.29672414064407,14.084062184463113,2575.0,559.0,11767.0,22.0,2726.45,6.0,6.0,3244.3660481770835,2471.3933919270835,6365.07666015625,1003.0799763997396,5898.693522135417,198773.0,4005826.3561220476,4005826.3561220476,6.923450718940274,6.923450718940274,0.0,0.0,186.87118675924177,0.011146924572987695
11,2017-07-30,197.978,17594.17094017094,206.736,208.541,196.149,197.978,200.76690277777786,18545669553.0,163.55433781024698,573178.4022629497,26564.191059121466,-14555.682989136172,116413.0,41819.0,14555944.323095514,25.395137474859418,9.0,5.0,260.89359641075134,153.25409561395645,107.63950079679489,11.899216330975868,1946.0,469.0,8644.0,18.0,2757.18,6.0,6.0,3248.5590006510415,2473.6666666666665,6379.88330078125,1001.4999796549479,5913.686848958333,206624.0,3011617.4524442106,3011617.4524442106,5.068947054723251,5.068947054723251,0.0,0.0,210.9654532248135,0.011142559106019077
